rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr
587388.6452254669,0.0,0.004178591052069405,0.003790105262647985,0.02625486190307458,0.7050508911588541,0.7050508911588541,4.5894415588527145e-05,4.760491765847361e-05,8.652058941780998,-8.661096190481059,0.0,1441748435.6312025,1307708331.6382787,106054495.33002414,1.373615053398715e-05,0.00018606071532851383,0.00017720068126525127,1.4622443729445558e-06,1.5353565915917837e-06,235.65282068321187,224.43125779353508,0.004840212997854112,0.004609726664622963,559417.7573575876,0.0,1031.8703727049563,523048432366.5408,474420346817.724,20.088086937422226,0.13049917466180272,19.99668864623701,20.211398981282887,20.0561731847452,59.867423079620295,10.713833275205516,0.7879457481942436,2.6345088756843826
598490.3881041731,0.0,0.004162964896649128,0.003775931879046828,0.026156679872930192,0.7613286856609756,0.7613286856609756,4.52984528761135e-05,4.698674319240492e-05,8.887474536783493,-8.897564823925627,0.0,1491233978.5803561,1352593177.8506632,105205599.73554946,1.4224861831819067e-05,0.00018330509147564974,0.00017457627759585688,1.4741913419139715e-06,1.5479009090096702e-06,239.20789872491366,227.81704640467967,0.004840179593659428,0.004609694851104218,569990.8458134981,0.0,1031.9456965034838,543035967327.4812,492549630229.0078,19.80356668823205,0.07791851421607432,19.768630865915924,19.88861937737084,19.753449821409045,59.85815389570387,11.263200654117213,0.7940576184538729,2.7118547030669737
609592.1309828793,0.0,0.004149248468261086,0.003763490674159715,0.026070497011615457,0.8019708538218548,0.8019708538218548,4.471574065399804e-05,4.6382313067374044e-05,9.053130186282916,-9.06280506469638,0.0,1541971640.9031973,1398613733.2455301,106103741.48558667,1.4491301147563825e-05,0.00018056483614994656,0.00017196651061899667,1.4743533807905584e-06,1.5480710498300863e-06,242.8397639650905,231.2759656810385,0.004841980122615009,0.004611409640585723,580563.9342694087,0.0,1031.9463417574098,563380489934.8938,511002711959.0874,19.800516499042804,0.043690626547625455,19.82742156514506,19.809293786404165,19.764834145580206,59.86931963132508,11.64799218944088,0.8009553688802817,2.700083922266938
620693.8738615855,0.0,0.004135038472682678,0.0037506017892813413,0.025981212976182128,0.8378941438268859,0.8378941438268859,4.4152198922315035e-05,4.579776792413901e-05,9.196984371196152,-9.206369822986089,0.0,1593169921.9581006,1445052083.408708,102660981.38201,1.4688042792427365e-05,0.00017794528694668234,0.00016947170185398317,1.47099667648903e-06,1.544546510313482e-06,246.4166823588017,234.68255462743008,0.004842855613591534,0.004612243441515746,591137.0227253195,0.0,1031.9313215551047,584081136659.6436,529778808761.5816,19.867255722369265,0.04906427066822706,19.91641671356554,19.83881829820094,19.846532155341137,59.86579706721197,11.97958813836607,0.7718257249215853,2.709788572381555
631795.6167402916,0.0,0.004119513204710854,0.003736519913569936,0.02588366484057153,0.8735503194764729,0.8735503194764729,4.361002582088144e-05,4.523538782801165e-05,9.337353232132466,-9.34645434275619,0.0,1644461038.8443222,1491574638.4075484,115578414.03083804,1.4873739569115787e-05,0.00017547728781361084,0.00016712122648915312,1.467202509155104e-06,1.5405626346128598e-06,249.88144954861184,237.98233290343984,0.004841805739178018,0.004611243561121922,601710.11118123,0.0,1031.908128627098,605161381469.0803,548899212216.85297,19.956048869271235,0.057277535507503,20.01345927507511,19.908713185167255,19.945974147571143,59.87604721316537,12.30136787520672,0.8644064543877727,2.7739172520547584
642897.3596189978,0.0,0.0041039372299591535,0.003722392045314425,0.025785798104866642,0.9096717209943244,0.9096717209943244,4.3085846076151256e-05,4.469167170773584e-05,9.476110986701832,-9.485031558284456,0.0,1696367697.9634473,1538655508.356868,114825796.61167246,1.5054507587097794e-05,0.00017310891465263927,0.0001648656330025136,1.463305014712293e-06,1.5364702654479075e-06,253.30958650060452,241.24722523867095,0.004840313284128917,0.004609822175360874,612283.1996371406,0.0,1031.8834689729142,626639201995.6387,568380228567.4727,20.049054733476734,0.06338762757465062,20.111731449648797,19.99228732145238,20.043145429328813,59.87649684417156,12.621690280805172,0.8543432260874404,2.858141321378316
653999.1024977039,0.0,0.004093638359839994,0.0037130506665215366,0.025721088395453395,0.9484088837184518,0.9484088837184518,4.256084046284205e-05,4.41470989384495e-05,9.617153319272076,-9.6261071875818,0.0,1751001401.8172214,1588209888.269589,103032461.52139568,1.5242667463971465e-05,0.0001705897692070048,0.0001624664468638141,1.459856229216569e-06,1.5328490406773972e-06,257.0435438230047,244.80337506952824,0.004844782658511659,0.004614078722392055,622856.2880930512,0.0,1031.8590672580794,648416146055.1888,588132558780.2167,20.13689961662241,0.06201036849048437,20.192017788039752,20.08051470240412,20.13816635942163,59.86730656418151,12.967127223876224,0.7630154214362905,2.81699275289663
665100.84537641,0.0,0.00408842350446355,0.003708320638969207,0.025688322492773055,0.9973925276924414,0.9973925276924414,4.203919298186453e-05,4.360600946034549e-05,9.784189353045468,-9.79417991769127,0.0,1808580871.7367735,1640436164.840611,100265482.91372783,1.551331400937304e-05,0.00016794875114620612,0.00015995119156781535,1.4604122389033663e-06,1.5334328508485347e-06,261.07434851145746,248.64223667757855,0.004854944529213241,0.0046237566944888,633429.3765489621,0.0,1031.865352361756,670590195723.7222,608245075486.3694,20.117685015996198,0.0802539942353914,20.13097259381964,20.120704837909308,20.101377616258112,59.86435261007785,13.404705918997346,0.7431281757991486,2.680999242454596
676202.5882551164,0.0,0.004074235094638936,0.0036954513330058384,0.02559917408463079,1.048666050261931,1.048666050261931,4.155789604445894e-05,4.3106774405695504e-05,9.959869365958976,-9.96981565108096,0.0,1863046860.562185,1689838422.278626,105424282.69656679,1.5811774330536795e-05,0.00016577102661604029,0.00015787716820575264,1.4622362666653785e-06,1.5353480799986471e-06,264.5088289606498,251.9131704387141,0.004854111049617501,0.004622962904397619,644002.4650048728,0.0,1031.8720579862497,693202382131.9673,628754995131.036,20.08454859282702,0.07747882186577265,20.09491943160469,20.09666601509568,20.06206033177856,59.86529306471866,13.843461372129388,0.7833065835018592,2.7980216614024167
687304.3311338222,0.0,0.004062521181751535,0.003684826468708876,0.02552557339928709,1.0994167417390068,1.0994167417390068,4.1082443842087545e-05,4.261360192154497e-05,10.127755542720868,-10.13748304624706,0.0,1919145152.4117649,1740721226.6773374,121676613.29946178,1.608514637374214e-05,0.0001635600417931008,0.0001557714683743817,1.4628425483598685e-06,1.5359846757778617e-06,268.0779596488677,255.3123425227311,0.004855949873550435,0.004624714165286128,654575.5534607831,0.0,1031.8800713536536,716137015642.7766,649557383802.972,20.061103938371208,0.06819903997165266,20.069643619753663,20.072698303044668,20.04096989231397,59.86925052062852,14.272859683900974,0.9054237208868956,2.8602276046712727
698406.0740125284,0.0,0.00405520553749146,0.003678190963711074,0.02547960785075964,1.1607127603698937,1.1607127603698932,4.061056218833426e-05,4.212413306169778e-05,10.318959176423391,-10.328744914458627,0.0,1978128022.9239647,1794220428.955977,149853206.46251303,1.6432724734085378e-05,0.00016125266316622877,0.00015357396492021784,1.4667812234029508e-06,1.5401202845730987e-06,271.91779803574417,258.96933146261347,0.0048627554444936275,0.004631195661422502,665148.6419166938,0.0,1031.908457798073,739476969307.2441,670727409802.4889,19.95966664449569,0.08225009464232158,19.95845168990857,19.979096417448012,19.941451826128866,59.86718699096871,14.790034100233296,1.1205031158753564,2.7932592207529416
709507.8168912345,0.0,0.004039156927586561,0.0036636344014390563,0.025378771460804514,1.2230080168321098,1.2230080168321096,4.0171999744469344e-05,4.166922523117935e-05,10.514569749266556,-10.524914818583596,0.0,2033376712.3186386,1844332618.8831184,157325865.14747605,1.6795189591718455e-05,0.00015935686492304913,0.00015176844278385628,1.4711978460958225e-06,1.544757738400614e-06,275.1477849325487,262.0455094595701,0.004858829272937656,0.004627456450416815,675721.7303726043,0.0,1031.9269320328974,763145885717.9226,692195814710.1338,19.874623226870945,0.06957506942949415,19.885687461975387,19.874669677472813,19.863512541162397,59.86646607850139,15.294672369910623,1.1826903469425591,2.973389737376697
720609.5597699408,0.0,0.004024996954868161,0.003650790888769308,0.0252898017282702,1.2819981792073398,1.2819981792073398,3.9741294338048405e-05,4.122246727283519e-05,10.693631456396476,-10.703687020592405,0.0,2090112078.456532,1895793268.4412987,146529001.42936695,1.7104856514030142e-05,0.000157452563993088,0.00014995482285056,1.4731985168323825e-06,1.5468584426740015e-06,278.47388918651643,265.21322779668225,0.004856864861521136,0.004625585582401085,686294.8188285152,0.0,1031.934482239102,787196123302.4691,714010089163.2372,19.837858337665335,0.03116466675957408,19.83910852551332,19.843965314763,19.830501172720002,59.86952748639886,15.764224226655404,1.1046652569461566,3.075024293401829
731711.302648647,0.0,0.004010807574045132,0.0036379207020817523,0.025200647219164967,1.3411212648019792,1.3411212648019792,3.932305322608457e-05,4.07886381578741e-05,10.86823017136468,-10.878783932665026,0.0,2147426186.7689805,1947778854.2122266,161095920.3965624,1.739991086861043e-05,0.00015561226365990146,0.00014820215586657282,1.4745359839545856e-06,1.5482627831523148e-06,281.7672161486688,268.34972966539885,0.0048545612494659135,0.004623391666158013,696867.9072844258,0.0,1031.943708182409,811643730133.394,736184789236.6387,19.80430119176675,0.037182864068968285,19.819914438945393,19.78642702753607,19.8065621088188,59.861060803366755,16.226177679805375,1.2191873897437406,3.203644200732103
742813.0455273531,0.0,0.0040061229266895645,0.003633671588834072,0.025171212711731155,1.3989161721708094,1.39891617217081,3.889409174449438e-05,4.0343689121092767e-05,11.025886646358147,-11.036171395045931,0.0,2210642170.101693,2005117614.6047106,245052265.40386903,1.7640555990613325e-05,0.00015347181271615812,0.00014616363115824586,1.4735804087642304e-06,1.5472594292024418e-06,285.7098545921602,272.104623421105,0.004863501332052113,0.004631906030525823,707440.9957403361,0.0,1031.9397946818513,836504150660.1145,758733923501.2374,19.822521512346704,0.03982595939352078,19.826046967686324,19.827308999457433,19.814208569897577,59.87073264673456,16.682046841816813,1.8542731365383864,3.2077420593207506
753914.788406059,0.0,0.004037324939666704,0.003661972734391568,0.025367260741223537,1.4743778400043266,1.4743778400043266,3.838987467764208e-05,3.982067969518125e-05,11.191258494230683,-11.201159512256284,0.0,2295251777.7996225,2081861022.947503,492086277.8708302,1.7905593878000913e-05,0.00015006265200690733,0.00014291681143514988,1.4736556799250225e-06,1.5473384639212738e-06,292.2590035608085,278.341908153151,0.0049160179746974685,0.0046819218806642545,718014.0841962469,0.0,1031.9425237564,861686682732.8037,781575222433.3818,19.815884121739334,0.04514975913281194,19.829546308009764,19.79658012231152,19.821525934897487,59.87265321348113,17.322069500704778,3.717200596563909,2.229173702067211
765016.5312847653,0.0,0.004102218299301793,0.0037208329245367725,0.025774997745016244,1.561829960661261,1.561829960661261,3.78195722547419e-05,3.922912188723352e-05,11.348170094952598,-11.357153175506575,0.0,2401212213.8692713,2177970262.012944,1015278079.8080009,1.8143697154187354e-05,0.00014554003305382394,0.00013860955528935615,1.4726262856030814e-06,1.5462575998832355e-06,301.32521845418444,286.97639852779463,0.005009654816221589,0.00477109982497294,728587.1726521575,0.0,1031.9388475194064,887231484249.9414,804745110430.7858,19.83435244371918,0.04852499394079565,19.840661857124818,19.823693790437524,19.83870168359577,59.874626653352536,18.09690939831116,7.65458258107333,0.443821496820318
776118.2741634715,0.0,0.004127587054586986,0.003743843133412233,0.02593439433548561,1.639568695507068,1.639568695507068,3.7355845898835153e-05,3.874811227624015e-05,11.50981988569604,-11.515821500781305,0.0,2486565491.6573577,2255388201.049758,733988985.5985165,1.8397227385478726e-05,0.0001425703846966348,0.0001357813187586998,1.4722439099657537e-06,1.5458561054640413e-06,307.5751043900665,292.9286708476823,0.005055122581492439,0.004814402458564227,739160.2611080679,0.0,1031.9371741708924,913201176749.8962,828300387074.7358,19.84187404073336,0.05352390883314548,19.857637616772166,19.812554345486106,19.855430159941736,59.874957616884004,18.73050155377954,5.530159147494,-0.404617743302671
787220.0170421776,0.0,0.004126816433317894,0.003743144157204438,0.02592955237925025,1.7066489738678958,1.7066489738678958,3.696149635076367e-05,3.833906517271213e-05,11.66571545240601,-11.667907851317056,0.0,2557562881.875537,2319784926.8712354,370841139.3706075,1.863245071382889e-05,0.0001405817832387014,0.00013388741260828704,1.4711451406130478e-06,1.5447023976437003e-06,311.90641782411086,297.05373126105803,0.005068524336999317,0.004827166035237444,749733.3495639787,0.0,1031.932365747228,939511082520.0864,852164247183.7517,19.86348760466316,0.05306081572116075,19.88139250646295,19.832062696740987,19.87700761078603,59.869471675968455,19.23681206313023,2.7899653460271367,-0.6742948263999571
