time,torque,temptop,tempmid,tempbot,fic,icangle,balance,mass,dm,alpha,torquenorm,alpha100
889.4950000000001,32.20687741600754,2511.451776649746,2532.5888324873094,2447.8883248730963,-17.081746192893394,-737722347.4373628,14343.873096446701,13905.873096446701,-0.33946700507614214,0.7925409196043047,0.8857749641967589,79.25409196043047
841.9413211678834,32.195179722991035,2518.228467153285,2542.3788321167885,2459.8598540145986,-17.083837591240886,-737429883.1670064,11211.046715328468,14045.078832116787,-0.05435401459854025,0.7935374286570233,0.8854532464630264,79.35374286570233
773.9750000000001,32.18870317505425,2527.2640692640693,2564.844155844156,2480.839826839827,-17.089820346320344,-737011869.9362636,6019.590909090909,14185.59090909091,-0.2999567099567098,0.794544629688459,0.8852751241339746,79.4544629688459
769.355,32.17116029951993,2532.134199134199,2565.099567099567,2481.08658008658,-17.079335497835483,-736983454.5221255,6158.422077922078,14324.422077922078,-0.29729437229437305,0.7955410073558982,0.8847926483028778,79.55410073558981
764.6349999999999,32.190498881264034,2532.1535269709543,2564.3319502074687,2485.991701244813,-17.078093360995844,-736954430.0804695,6298.458506224067,14464.458506224066,-0.29153526970954446,0.7965473070612247,0.8853245108405197,79.65473070612246
759.815,32.158197351964304,2532.2157676348547,2562.7883817427387,2488.1659751037346,-17.08785892116182,-736924798.2605951,6437.836099585063,14603.836099585062,-0.2857468879668041,0.7975501294207488,0.8844361326972617,79.75501294207487
754.95,32.12552856486104,2532.7596741344196,2569.3951120162933,2491.020366598778,-17.083745417515267,-736894870.5707824,6577.382892057027,14743.382892057027,-0.2860896130346219,0.798555437835977,0.8835376539856198,79.85554378359771
750.2349999999999,32.09582249816116,2537.721238938053,2574.902654867257,2491.933628318584,-17.081736725663703,-736865873.633455,6716.320796460177,14882.320796460177,-0.30400442477876477,0.7995576139095522,0.8827206579810821,79.95576139095522
745.7550000000001,32.125105746990506,2542.198198198198,2575.436936936937,2491.9054054054054,-17.081204954954938,-736838325.7066444,6853.403153153153,15019.403153153153,-0.3007207207207176,0.8005476365433857,0.8835260253673188,80.05476365433857
741.085,32.09427238217808,2544.734693877551,2575.2285714285713,2491.5183673469387,-17.083130612244897,-736809610.5647609,6989.271428571428,15155.271428571428,-0.2930408163265309,0.8015301091360372,0.8826780256602993,80.15301091360372
