alpha,nueff,alpha100,nucor
0.6925124736633902,0.6513692872015839,69.25124736633902,6.513692872015839e-07
0.6950151302479582,0.6492837721289548,69.50151302479583,6.492837721289548e-07
0.6974918851985334,0.6565538182441255,69.74918851985335,6.565538182441254e-07
0.6999804373628669,0.6577078283104375,69.99804373628669,6.577078283104375e-07
0.7024949263622667,0.6608513686944417,70.24949263622668,6.608513686944417e-07
0.7049960527605386,0.6637436309412571,70.49960527605386,6.637436309412571e-07
0.7075229902608912,0.6633761190133829,70.75229902608912,6.633761190133829e-07
0.7100274787349389,0.6678374320895525,71.00274787349389,6.678374320895525e-07
0.7125013583422127,0.6655469666566102,71.25013583422127,6.655469666566101e-07
0.7149774214009559,0.6670393830977712,71.49774214009558,6.670393830977712e-07
0.7174970976157574,0.666480917506768,71.74970976157574,6.66480917506768e-07
