rei,a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,nuwta,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
410100.9883075125,0.0,0.00459973387220779,0.2672133487982294,5.8670271285820684e-05,6.063429874125792,-6.073864903127967,0.0,773718423.6357231,199782729.94882074,0.0002306061718218813,1.4678040074171944e-06,181.102160617176,0.004958489857583589,1031.9165692736176,255015718419.0858,19.93173512699972,0.04721892533277264,19.98742420352764,19.89483168675113,19.91294949072019,59.86766224216757,5.792879829255927,1.4957158366952779
420913.2238061558,0.0,0.00457686862556441,0.2868808893055334,5.760315938699585e-05,6.219607600209193,-6.229718865315891,0.0,810936705.5468491,212460541.41009447,0.0002257792234151245,1.4669252223098774e-06,184.95780299546126,0.0049596667592182045,1031.9108294294663,268603845867.31702,19.953091782063485,0.047021536138382315,19.996247947081788,19.923223413539926,19.939803985568577,59.86845863874159,6.064385810824285,1.5888463898608192
431725.4593047991,0.0,0.004553208684409798,0.3083458403902264,5.658872145306286e-05,6.3823878063077855,-6.392914352261712,0.0,848683868.0907291,225312520.86407688,0.0002212556701843564,1.4676168408693305e-06,188.73005234021267,0.004959155266484639,1031.914015270465,282561766067.3178,19.93914507734026,0.03348116238182876,19.977438287812127,19.91651424191782,19.923482702288947,59.86284980566868,6.352722047545927,1.686864194814575
442537.69480344234,0.0,0.004532344188051317,0.33056362132542844,5.5616427403149884e-05,6.541535964050894,-6.551820838780325,0.0,887706344.7827071,290094063.32120353,0.00021686538104680045,1.467461119642095e-06,192.56654328594018,0.0049608482854974255,1031.914218381515,296925580523.4622,19.940307320952304,0.02899042010980177,19.974126276105185,19.918875928790737,19.927919757961266,59.8665386228713,6.643420085896356,2.1717236548392553
453349.9303020857,0.0,0.004512710845658205,0.354002744272242,5.467943492980138e-05,6.7020507546896395,-6.712044137191043,0.0,927606723.345774,322848234.9607348,0.00021262197643803188,1.4676098722428979e-06,196.4153685703227,0.004963237013646823,1031.9160617539226,311626398844.19745,19.93481885130487,0.030265228300318654,19.971582235752972,19.914821639910375,19.918052678251644,59.87031897452086,6.943476502423665,2.4169019796391087
464162.16580072895,0.0,0.004494409883275259,0.378263945117112,5.3775352383618046e-05,6.861204027746001,-6.871284545303524,0.0,968434076.6188078,327202309.5491834,0.00020851168837378794,1.4674696895024652e-06,200.28558337488312,0.004966479113422381,1031.9162812741272,326662812955.77686,19.9357863062549,0.035361361278772124,19.97964516190127,19.91464451082832,19.913069246034617,59.866933137738236,7.2475622198831084,2.448610578355095
474974.40129937226,0.0,0.004476818161130312,0.4031246473739533,5.29033605028716e-05,7.018080008497201,-7.028632301725362,0.0,1010039348.941943,298527061.4417849,0.00020454913431928873,1.4668541565681044e-06,204.15132143559438,0.004969924016493693,1031.9132991248493,342027241632.83295,19.948514154207036,0.03968580126698078,19.99673575219551,19.924561458353484,19.9242452520707,59.86070911590116,7.552546680299841,2.232282147362418
485786.63679801556,0.0,0.004457126557776245,0.4284401213062603,5.2073830882435365e-05,7.172783185344604,-7.183506950969421,0.0,1051871996.2434229,212700932.60970175,0.0002008732433743304,1.4658195726796258e-06,207.88178324333728,0.004970412118634026,1031.906688409047,357760787869.02374,19.973341773218177,0.04278171552962539,20.024035533723342,19.942506656524568,19.953483129404827,59.8783435151614,7.854246086916046,1.5884515115258095
496598.8722966588,0.0,0.004435518680409648,0.4547642893194584,5.128661914532212e-05,7.328096236463182,-7.33928098531607,0.0,1093942937.9902453,175110000.192109,0.0001974731431472091,1.4649575765849093e-06,211.47315887158493,0.004968075989641929,1031.899247053345,373900990226.4931,19.998182509158493,0.04160029056304233,20.046819176901884,19.96440206541872,19.983326285153666,59.87048300276455,8.158672371997278,1.306032322269804
507411.1077953021,0.0,0.00441750620788041,0.4831079384036618,5.051625584823913e-05,7.487190020726547,-7.49825252790529,0.0,1137484960.0451238,150117928.11900237,0.00019405475323627913,1.4648558576613663e-06,215.20212549367875,0.004969270541717213,1031.8961547370998,390360993388.37384,20.005872011102202,0.035990585763882636,20.046558764675293,19.98082955020774,19.990227718422556,59.863445371188654,8.482499237015,1.1191809925620495
