time,pixels,walltimedt,source,numDroplets,numFrames,walltime,diastd,diameter,alpha,tempbot,icangle,torque,mass,diastdsmooth
481.17900000000003,269.06292156639654,892.9019880952808,p2,42,21,2019-02-28 16:18:59.945700,31.617425765094104,86.77279220516289,0.5671965921223354,20.16531731227119,7.98325535788232,7.191406521490085,38064.582940004206,22.489144656038537
484.4635,270.2462266010699,895.7919489362131,p2,47,20,2019-02-28 16:19:03.044800,20.935453347983863,87.15440807884504,0.5658223057576988,20.161394428249512,7.983209953009634,7.214365818202574,37878.18303569602,21.8478386296114
487.74800000000005,268.512839822758,899.3183153846593,p2,39,21,2019-02-28 16:19:06.540200,20.646388093405648,86.59539084283945,0.5645098049198484,20.156276846679184,7.983279715518832,7.287234032550271,37692.82743311366,22.176695845045256
491.0325,269.49956485109954,902.4178977778216,p2,45,22,2019-02-28 16:19:09.903200,31.870271131536107,86.91360966447962,0.5632125684160285,20.155878595023516,7.983369928410291,7.333968322167377,37505.195173347754,22.896085698507008
494.31699999999995,271.92747616786806,905.8515238806418,p2,67,20,2019-02-28 16:19:12.936800,20.978164595174594,87.69661106413747,0.5619092556062987,20.157349779771113,7.983364495717348,7.3316045273162445,37316.69585745403,23.041719082320107
497.6015,274.7460947645584,909.1925600000453,p2,35,15,2019-02-28 16:19:16.432200,29.364045939454304,88.60561556157009,0.5605993443048801,20.15214996202976,7.983164089834447,7.30022845050771,37131.83235223698,23.979923559947824
500.88599999999997,275.4100531854428,912.3492113636826,p2,44,23,2019-02-28 16:19:19.531600,28.77931288442842,88.81974215230532,0.5592816260719694,20.143292705740915,7.98297636986068,7.26635388390973,36949.094616492235,24.536983537858177
504.1705,273.2092510202194,915.5474104167128,p2,48,18,2019-02-28 16:19:22.762900,21.21537262059097,88.10998345402076,0.5579566274008072,20.139624211772755,7.983126860030868,7.255301866390694,36763.81626543015,24.77119730653409
507.455,269.7036247832763,918.8453480000474,p2,50,23,2019-02-28 16:19:26.126200,21.782639204637192,86.9794189926066,0.556643892266777,20.139860669918797,7.983405670134136,7.257955697796087,36575.68657898562,24.91680986047412
510.7395,270.29611755620414,922.1221282051764,p2,39,17,2019-02-28 16:19:29.489500,14.951137976548864,87.17049791187584,0.5553655914530706,20.13862836418356,7.983433478989283,7.253669956327285,36386.493676764396,24.664821974317892
514.024,269.02575116599496,925.6376516129526,p2,62,22,2019-02-28 16:19:32.588900,22.061100162375013,86.76080475103338,0.554109178046061,20.1342413016526,7.983280327785302,7.246844327658154,36198.32006999201,24.016391616989836
