t0,a0,t5,a5,t10,a10,t20,a20,t30,a30,t40,a40,t50,a50,t60,a60,t65,a65,t70,a70,t75,a75,t80,a80,t90,a90,t100,a100
1286197961771.042,0.005138839350012363,737797034637.8322,0.005035805030565375,473652167243.5392,0.005071066374650155,286375209547.34863,0.005001711584111175,188129645717.1635,0.004908511401761521,112235344351.02982,0.004853409280889895,61583947982.5578,0.004799191768848919,39256057738.15393,0.004745926764277806,30386294156.079605,0.004755818539742657,1835170400471.4626,0.0043849589610269555,1483018130895.042,0.004339725492974986,1280021653205.477,0.00425804079476842,762396351039.1688,0.004207827722868115,617348284206.5187,0.004155147757291314
1343372493489.8337,0.005143372148016908,770332672098.9097,0.005043461209863665,494674023672.5406,0.005073512503339945,299132821070.96643,0.005005131584245152,196524105232.35977,0.004912470534204526,117220305392.06944,0.0048430200707590175,64320316900.438965,0.004788379082928954,41005067924.89491,0.004736401318764101,31738027442.35909,0.004736144715982506,1916950856039.1204,0.004374848546964841,1548921437883.342,0.0043647055388522345,1336494436373.3135,0.0042724750891286935,796389265849.8145,0.004198481041306453,644829480948.0272,0.0041611974191791
1401569324644.9507,0.005142092075707964,803895207115.7976,0.00505642265799373,516015548917.9267,0.0050818334987112485,312093850837.8229,0.005006569476789983,205065589917.3935,0.004921176868657333,122319912879.54709,0.004847203319194214,67124124130.01468,0.004789157948107227,42786551025.99082,0.004720959350094815,33115597924.797695,0.00472030395363508,1999835370333.4878,0.004375820028514754,1616294711176.2437,0.004361137515159081,1394815951000.2415,0.004271257125137255,830950840838.2668,0.0042042123607358975,672758640551.2913,0.004154938885820649
1461246453532.6672,0.005135742330217158,838208210935.0682,0.0050648799749320236,538093180622.1832,0.005091140814379209,325341493927.1304,0.005014387794142813,213809510753.67825,0.004924283985906506,127536590364.23065,0.004842323731287594,69986721260.02881,0.0047832296304530985,44611116041.07476,0.004713251935152834,34532651406.91189,0.004709041867929463,2084870198265.8442,0.004402786432484294,1685533203675.1858,0.004372402879561832,1454412474959.1028,0.004277216395343611,866455223741.8792,0.004231212779032392,701428834234.364,0.004165236990205613
1522069235649.3108,0.0051299363901508716,872913059346.7687,0.005081527679536392,560631660494.7653,0.005093569907457923,338907323325.7848,0.005014330476161047,222686920519.24384,0.004923778010593422,132834926783.35922,0.004852805026147547,72879470380.62672,0.004775499594558492,46465952102.61431,0.00469863211628564,35970805539.5444,0.004692060022864192,2171448693442.3318,0.00443062410184166,1755564473915.7437,0.004382228041902016,1514578706972.7368,0.004288480163105951,902418274597.3309,0.004226263154303746,730679518709.4193,0.004171085160293737
1584254440697.9062,0.005136342439029454,908545574668.9672,0.00508939331505915,583310446047.2528,0.005087569337768877,352741587765.92664,0.005022008068141629,231786009914.77155,0.004932353709814136,138273568297.3105,0.004854812268875145,75857578027.49644,0.00476643398471187,48363689434.3822,0.0046847587908406,37433356870.960236,0.004673076128290588,2260582113161.251,0.004426690850439766,1826968182934.033,0.004379754304075146,1576771768080.8235,0.004294518545009618,939365944478.348,0.004234371183486194,760620881681.0632,0.004170054567798916
1647585212898.5688,0.0051366777143689885,945079716768.5815,0.005101768948979927,606564178872.1349,0.005096802135436532,366831281314.32184,0.005024041023067179,241086975067.3443,0.004936276036177116,143795454914.907,0.004851726001018835,78911966538.2008,0.004759537636226664,50293843572.83158,0.004678599082921837,38934840896.705795,0.00466071546967288,2351162658442.9346,0.004451341237656527,1900055667680.6172,0.004365183758962371,1639974962984.6829,0.004306478707755786,977017160979.3445,0.004246235221489898,791024183459.3983,0.004178190842307925
1712202506564.8374,0.005149886727291474,981996872295.2374,0.005109946971267664,630484800805.5559,0.005096579830071949,381235053383.1646,0.005025348830964769,250518398312.21832,0.004933482921774462,149428039406.84976,0.00484491738843721,82010643357.84544,0.004759836236298589,52271711980.39235,0.004668066570143274,40457755981.328156,0.004640853208280366,2443337993992.524,0.004467088010253355,1974400355318.878,0.00440991029580483,1703945300568.5676,0.0043195051248079985,1015120647136.1418,0.004257513168969247,821924001382.2142,0.004188959902726247
1778156976791.801,0.005142293230914386,1019846401496.7817,0.005122155068051503,654632455663.9421,0.005104912389343318,395888162061.54266,0.005028778627000768,260205268973.4111,0.004941973481418042,155175649255.71948,0.00484928476944344,85157593800.1395,0.004753093850883107,54287951036.37758,0.004649934354005375,42017731226.980316,0.004633506870901029,2537038271896.6714,0.004475068474933471,2050518125953.954,0.004412756474427614,1769528268837.106,0.004325472158253781,1054218578190.7441,0.0042820422366716855,853466224447.3229,0.004192447500514354
1845374008810.2473,0.005144127752537653,1058555024460.5176,0.005125064252273414,679309039355.6434,0.005101832746294826,410908615214.98425,0.0050286889355700415,270007316051.21915,0.004938752059714307,161001626365.9017,0.004847457551507475,88364272198.81532,0.004741451176136717,56325568175.50765,0.0046474524032584195,43604488176.02311,0.00460870422415938,2632769681389.4463,0.004488576731802817,2128003803610.1677,0.004424740290199593,1836056432921.3848,0.004318638371478356,1093931085429.7144,0.004275657949929072,885619507861.9054,0.0041902477822577085
