alpha,einstein,pal1,pal2,phan,taylor
0.37142857142857144,1.9826117605592435e-06,3.5730999494613037e-06,1.9419489112373078e-06,2.9562277489711775e-06,1.9305431688677885e-06
0.3857142857142857,2.0213454075032342e-06,3.7725081398725624e-06,2.0158773047751833e-06,3.1097282625961014e-06,1.967220125517197e-06
0.39999999999999997,2.0601565718994646e-06,3.985870146845602e-06,2.095852746208282e-06,3.2739934046752484e-06,2.0039704835749333e-06
0.41428571428571426,2.09904548668395e-06,4.214563467147164e-06,2.1826669147612238e-06,3.449971909053477e-06,2.0407944636085105e-06
0.42857142857142855,2.138012385726924e-06,4.4601685334277976e-06,2.2772579102286415e-06,3.638713984467873e-06,2.0776922870700523e-06
0.44285714285714284,2.177057503837525e-06,4.72451141394803e-06,2.3807460650271716e-06,3.84138433483156e-06,2.114664176300733e-06
0.45714285714285713,2.216181076768512e-06,5.009718455582977e-06,2.4944808838572518e-06,4.059277186841025e-06,2.1517103545352466e-06
0.4714285714285714,2.255383341221013e-06,5.318287100295848e-06,2.6201033892293367e-06,4.293833697404055e-06,2.1888310459062943e-06
0.4857142857142857,2.2946645348492925e-06,5.653178951081336e-06,2.7596301499392213e-06,4.546662195816384e-06,2.226026475449108e-06
0.5,2.33402489626556e-06,6.017943984763115e-06,2.915568389052132e-06,4.81956181938397e-06,2.2632968691059972e-06
0.5142857142857142,2.373464665044799e-06,6.416889223761379e-06,3.0910765555907133e-06,5.114550232577395e-06,2.300642453730925e-06
0.5285714285714286,2.4129840817296267e-06,6.8553122698289485e-06,3.290192937303751e-06,5.4338962872567115e-06,2.3380634570941062e-06
0.5428571428571428,2.4525833878351864e-06,7.339831832539431e-06,3.518168767070577e-06,5.7801586963204176e-06,2.3755601078866436e-06
0.5571428571428572,2.492262825854065e-06,7.878867448530012e-06,3.7819665997641762e-06,6.156232070646719e-06,2.413132635725185e-06
0.5714285714285714,2.532022639261245e-06,8.48335624488909e-06,4.0910291020687615e-06,6.565402030347545e-06,2.450781271156606e-06
0.5857142857142857,2.5718630725190844e-06,9.167860847786725e-06,4.458508117917722e-06,7.011411575054953e-06,2.4885062456627343e-06
0.6,2.6117843710823234e-06,9.952352196949258e-06,4.903314606440642e-06,7.498541524389074e-06,2.5263077916650833e-06
0.6142857142857142,2.6517867814031313e-06,1.086522104076158e-05,5.453716948403157e-06,8.031708675561723e-06,2.5641861425296343e-06
0.6285714285714286,2.6918705509361723e-06,1.1948678220677719e-05,6.154067601043403e-06,8.616586450715979e-06,2.6021415325716337e-06
0.6428571428571428,2.7320359281437124e-06,1.326919945740043e-05,7.0784213497130435e-06,9.259754338041674e-06,2.6401741970604253e-06
0.6571428571428571,2.772283162500749e-06,1.4939833400864714e-05,8.361147680154897e-06,9.968884536889396e-06,2.6782843722243116e-06
