rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr,drc,drgc,drt,drcf,drcfc,drcfrei
743929.2575899947,0.0,0.02497012223084409,0.022648636944076272,0.024970122230844088,1.3748144018842652,1.3748144018842652,3.892902201050286e-05,4.037992125120705e-05,10.990540131798141,-11.000797967310488,0.0,2199498073.8235,1995009590.769614,220464894.75851345,1.7501780162565027e-05,0.0001544932657614847,0.00014713644358236642,1.4666567545242803e-06,1.539989592250494e-06,283.8477700450832,270.3312095667459,0.004826076777774971,0.004596263597880924,708504.0548476139,0.0,1031.891162603213,839022438916.9844,761018085185.4733,19.998110840109025,0.0548603048237104,20.02411567006355,19.96929824439868,20.000918605865653,59.86629480540188,16.444737219532175,1.6563604863857206,3.9753953931106922,8.547995612486393,12.903575406331768,3.8637955610747676,3.9743545551946813,12.901908893600622,3.9743545551946924
755011.0681104396,0.0,0.025117552275661287,0.022782360340735858,0.025117552275661287,1.444373803715476,1.444373803715476,3.8444465081805865e-05,3.9877304704168375e-05,11.149679148694807,-11.159683321944847,0.0,2279268110.126501,2067363365.1941051,433864663.51892,1.7747759972004816e-05,0.00015137302476412259,0.0001441647854896406,1.4660490625752003e-06,1.5393515157039602e-06,289.8032102605212,276.0030573909726,0.00486904350964297,0.004637184294898066,719058.1601051805,0.0,1031.8862850388803,864190873617.4083,783846597385.4044,20.01483132109881,0.04606821735528161,20.03703963690171,19.984701065601698,20.022753260792825,59.86718530813652,17.028459615135116,3.2573785849113484,3.1671291713461946,7.7782182584249515,12.161285965989876,3.0051083863401273,3.1747940130694596,12.176683912081154,3.1747940130694596
766092.8786308842,0.0,0.02554068277270364,0.02316615217478788,0.02554068277270364,1.5312654045570555,1.5312654045570555,3.7866324698360416e-05,3.927761681194825e-05,11.306795775557973,-11.316004230389664,0.0,2385877887.5291452,2164061575.9901547,876770024.4752045,1.7987164221481227e-05,0.00014668904445655866,0.00013970385186338918,1.465192139389322e-06,1.5384517463587886e-06,298.99712906928437,284.75917054217564,0.004965490252236596,0.004729038335463422,729612.2653627467,0.0,1031.8825663577368,889705699061.0171,806989296200.4689,20.031620172495508,0.0386844280737346,20.037277271889078,20.023118607773615,20.03446463782439,59.87656042776478,17.80438070285255,6.572896448295847,1.331901109391942,6.03038200894469,10.510911547190416,1.1602002622394747,1.3388711024146849,10.511447711940757,1.3388711024146849
777174.6891513288,0.0,0.025831171799534633,0.023429634285292173,0.025831171799534633,1.6198207204420736,1.6198207204420736,3.735444990283855e-05,3.874666425094956e-05,11.478127606804051,-11.484538621158869,0.0,2483347706.510366,2252469575.066091,858548639.308774,1.8271791244821492e-05,0.0001429456133195307,0.00013613867935193395,1.4661909973665631e-06,1.5395005472348914e-06,306.7680932410866,292.16008880103493,0.00503638451650264,0.004796556682383465,740166.370620313,0.0,1031.8929337268744,915662596540.2094,830532967383.4098,19.999086513003988,0.05241891577481437,20.001820141736925,19.991002637638267,20.004436759635478,59.87355288352651,18.554163411020145,6.392625469957633,-0.028705362769554377,4.73456632117183,9.271598040381646,-0.42749535110826464,-0.024561162821479243,9.274774455490764,-0.024561162821479243
788256.4996717734,0.0,0.02582168161541735,0.023421026408541813,0.02582168161541735,1.6906930475969295,1.6906930475969293,3.696326933111138e-05,3.8340904232701894e-05,11.645049769882236,-11.64717646825209,0.0,2553617887.994121,2316206701.128455,403485774.0635583,1.8542396306478204e-05,0.00014098359131311538,0.0001342700869648718,1.4666031889248725e-06,1.5399333483711162e-06,311.0192264571815,296.2087871020776,0.005048777784146582,0.0048083597944253145,750720.4758778795,0.0,1031.9014510428576,941971836275.4678,854396223379.109,19.97655153608111,0.05302931550172424,19.97531606319402,19.976046276348754,19.97829226870132,59.86300460891717,19.089465520535,3.011751479651291,-0.28353697713290327,4.491869545587712,9.037596233803114,-0.7463373086773029,-0.2848653326966266,9.038670900048428,-0.2848653326966266
799338.3101922183,0.0,0.025749109399523316,0.023355201269408904,0.025749109399523316,1.7582432021747278,1.7582432021747278,3.660310895031128e-05,3.796732053952334e-05,11.809617551703086,-11.808158507286587,0.0,2618480618.091842,2375039109.3803554,291382170.59978646,1.8805619582963284e-05,0.0001394153221758985,0.00013277649731037949,1.466699200712051e-06,1.540034160747654e-06,314.50741985646687,299.53087605377806,0.00504868682904502,0.004808273170519067,761274.581135446,0.0,1031.9080497559557,968607617865.656,878555662463.18,19.961385591036688,0.04120043456575261,19.950866839605848,19.97923045651329,19.9540594769926,59.86317913249696,19.577000791697547,2.177749388057412,-0.3012689214243913,4.4749819795957935,9.022985027237485,-0.7497269972180254,-0.3019088952382676,9.023211886405191,-0.3019088952382676
810420.1207126628,0.0,0.025652003058546816,0.023267122955598026,0.025652003058546827,1.8295299199169448,1.8295299199169448,3.626148375926449e-05,3.7612962849567104e-05,11.98213152387315,-11.979381103011994,0.0,2681455946.455721,2432159588.621969,264343788.93604723,1.9094325216576014e-05,0.00013802883311898236,0.00013145603154188795,1.4677755628935537e-06,1.5411643410382313e-06,317.6645502752469,302.53766692880663,0.00504350995727162,0.004803342816449162,771828.6863930123,0.0,1031.9163219159173,995661610934.7788,903094431686.874,19.93255871041941,0.03126600163043347,19.926453890972738,19.945578670157914,19.925643570128113,59.86698136629858,20.077296652147545,1.9787114659896985,-0.1730193835159044,4.597124396651497,9.143154133251342,-0.7510493522146389,-0.1719401178869262,9.141097398741993,-0.1719401178869706
821501.9312331077,0.0,0.025570647791607084,0.02319333133025586,0.025570647791607084,1.908586840030904,1.908586840030904,3.592243623582705e-05,3.7261278897858084e-05,12.165189834390063,-12.169563985627375,0.0,2746557996.6953692,2491209067.297386,244040657.25334096,1.941672632479448e-05,0.00013659927860927104,0.00013009455105644863,1.4700980564512187e-06,1.54360295927378e-06,320.9877852578325,305.70265262650724,0.005041192386455431,0.004801135606148031,782382.7916505787,0.0,1031.9276611228886,1023075186181.8466,927959352545.8926,19.88434748241067,0.037564950401223096,19.8854804546998,19.872817785814213,19.894744206717892,59.873473905048904,20.630006919803208,1.8322978606401017,-0.09369080099124183,4.6726754276273486,9.215480509887819,-1.0105912711470655,-0.0919131439938603,9.213684223134821,-0.0919131439938603
832583.7417535523,0.0,0.02552745080265761,0.02315415038789806,0.025527450802657604,1.987554502729016,1.987554502729016,3.5578387260271143e-05,3.6904407088035615e-05,12.337740104793994,-12.345220133853127,0.0,2816444296.0071077,2554598000.9134765,206621870.37729773,1.9705555364205248e-05,0.00013501013998245664,0.0001285810856975777,1.4711065220045241e-06,1.5446618481047503e-06,324.77063867235637,309.3053701641488,0.005046187267153204,0.004805892635384004,792936.896908145,0.0,1031.9321967448525,1050867138483.1328,953167472547.0592,19.864247259782907,0.031012371253742708,19.86804933750698,19.855770150200623,19.868922291639656,59.868087542894976,21.183383780113637,1.5533711256838083,-0.20573232483880322,4.565969214439269,9.111956228451934,-1.3133240988700612,-0.2034174753095641,9.112546507655727,-0.2034174753095419
843665.5522739969,0.0,0.02549345642064585,0.023123316481311426,0.025493456420645846,2.0568169817156767,2.0568169817156767,3.52399868842176e-05,3.655339440313607e-05,12.484980676315052,-12.494867531438002,0.0,2888094473.7794704,2619586824.289769,192018549.7585016,1.991365477346748e-05,0.00013341965214060082,0.00012706633537200074,1.4691329229754769e-06,1.542589569124251e-06,328.64979687553137,312.9998065481251,0.005052778337116831,0.00481216984487317,803491.0021657116,0.0,1031.9233761587418,1079073367221.8011,978751353489.162,19.90346418631265,0.037488283743754486,19.91543141828409,19.889210681209892,19.905750459443592,59.860614782975425,21.662663202934365,1.4402506742350245,-0.3595523861650074,4.419473917938088,8.967289790432709,-1.2575466092135557,-0.3615867969733788,8.969082270318951,-0.3615867969733566
