time,pixels,source,diameter
384.1563684210526,255.8037992561446,p2,82.49672526010663
387.34636842105266,257.54188390505504,p2,83.05725755938026
390.53686842105265,262.61016990790773,p2,84.69177979530025
393.72736842105263,263.0122106004119,p2,84.82143791863284
396.9173684210527,265.22094161116854,p2,85.53375366960185
400.1078684210526,266.41193485536417,p2,85.91784899085495
403.29836842105266,262.7267864129218,p2,84.72938861816728
406.4883684210526,264.94580256058197,p2,85.44502132578769
409.67886842105264,266.9189405701394,p2,86.08135833386996
412.8693684210527,267.86962421915615,p2,86.38795381067786
416.0593684210526,263.49715028918496,p2,84.97783096826215
419.24986842105267,263.39890200027605,p2,84.94614589508903
422.4403684210526,262.2342280907759,p2,84.57053855927524
425.63036842105265,256.7751398130036,p2,82.80998258969366
428.82086842105264,254.62938998569373,p2,82.11797827038623
432.0113684210526,253.72233469800676,p2,81.82545294010718
435.2013684210527,249.37559730551536,p2,80.4236301310287
438.3918684210526,251.39566795442659,p2,81.07510291530258
441.58236842105265,253.8032546107374,p2,81.85154961196282
444.7728684210527,252.96071489268465,p2,81.5798305528908
447.9633684210526,256.86031648804544,p2,82.83745206739465
451.1533684210527,261.4365995438749,p2,84.31330335289965
454.34386842105266,264.46255787609505,p2,85.28917491504066
457.53436842105265,268.4316592476712,p2,86.56921010737396
460.7243684210527,268.78572374774495,p2,86.68339590864775
463.9148684210527,268.1762945569318,p2,86.48685499461051
467.1053684210526,268.259783001334,p2,86.5137800179302
470.2953684210527,270.9198749800601,p2,87.37165968106939
473.4858684210526,272.57413542215073,p2,87.90515867364361
476.67636842105276,271.8943791858413,p2,87.68593728743382
479.8663684210526,272.3303209974783,p2,87.82652852168675
483.05686842105274,267.5019287806193,p2,86.26937203174974
486.24736842105267,270.73707553732095,p2,87.31270686078601
489.4373684210527,268.66775402482875,p2,86.64535067300727
492.62786842105265,269.90913725379477,p2,87.04569676434882
495.8183684210526,270.18260760657176,p2,87.13389095311939
499.00836842105264,267.90853502499436,p2,86.40050254556068
502.19886842105257,267.48688782858744,p2,86.26452132471945
505.3893684210527,273.17123271780275,p2,88.09772255149139
508.57986842105265,274.67269069223613,p2,88.58194274824615
511.7703684210526,271.9787570549096,p2,87.71314915020834
514.9603684210526,275.11335595171107,p2,88.72405729442683
518.1508684210526,277.1650702134175,p2,89.38573514382715
521.3413684210527,277.23213997346187,p2,89.40736514144146
524.5313684210528,273.7648248648439,p2,88.28915601891215
527.7218684210527,273.18156003975315,p2,88.1010531128204
530.9123684210526,266.12600785497636,p2,85.82563753322988
534.1023684210527,262.9166325745859,p2,84.79061400530395
537.2928684210526,265.75771926997294,p2,85.70686446456628
540.4833684210528,263.9199465924361,p2,85.11418277606063
543.6733684210526,261.1680931261396,p2,84.22671003318001
546.8638684210528,265.5495206686642,p2,85.63972041564419
550.0543684210527,269.361321293498,p2,86.86902611715311
553.2443684210527,270.65665682927755,p2,87.28677182744201
556.4348684210527,274.77857928157397,p2,88.61609181830761
559.6253684210526,274.4500353647768,p2,88.51013640514051
562.8158684210528,277.02580680981004,p2,89.34082269616374
566.0063684210527,278.60745288155084,p2,89.85090355430015
569.1963684210527,277.1906845170867,p2,89.39399575676046
572.3868684210527,274.97499635716304,p2,88.67943632518508
575.5773684210526,276.64361876735836,p2,89.21756705247307
578.7673684210527,279.22543113271104,p2,90.05020154029931
581.9578684210526,274.4310993706452,p2,88.50402954703308
585.1483684210527,277.3322283392611,p2,89.43964363941171
588.3383684210526,275.63912727705343,p2,88.89361854684974
591.5288684210527,273.8286365629269,p2,88.30973529154392
594.7193684210526,275.18873838521176,p2 p3,88.7483681292308
597.9093684210527,276.62503598543566,p3,89.211574105303
601.0998684210526,274.4317496869901,p3,88.5042392740543
604.2903684210528,273.5914343707841,p3,88.23323758457788
607.4803684210526,277.996209350106,p3,89.6537775154092
610.6708684210528,281.33860373456423,p3,90.73169970439697
613.8613684210527,283.00988381224994,p3,91.27068752945061
617.0513684210528,286.3558507605513,p3,92.34976187027779
620.2418684210527,288.16091416470624,p3,92.93189481811777
623.4323684210526,285.0703824389544,p3,91.9351983365628
626.6228684210528,285.3564119520748,p3,92.02744285454412
629.8133684210527,291.2542850659332,p3,93.92950693376345
633.0033684210528,306.5008214306027,p3,98.84651491136937
636.1938684210527,320.47170854424826,p3,103.35212600552006
639.3843684210526,331.15677776753466,p3,106.79806083002993
642.5743684210527,344.07206971032167,p3,110.96324248157875
645.7648684210526,350.1001613421595,p3,112.90730203284643
648.9553684210528,364.79854043035243,p3,117.64752928878866
652.1453684210526,377.30931437569086,p3,121.68225388616031
655.3358684210527,385.69913179444785,p3,124.38797000370944
658.5263684210527,382.8513877808487,p3,123.46957255932371
661.7163684210527,378.12544947665344,p3,121.94545745622074
664.9068684210526,374.4516801270577,p3,120.76066684097611
668.0973684210526,369.7679136500232,p3,119.25015215213249
671.2873684210526,376.25815414868487,p3,121.34325471295087
674.4778684210526,378.07185079855896,p3,121.92817188253527
677.6683684210527,376.2189274207021,p3,121.33060409317642
680.8583684210528,370.9527614803828,p3,119.63226557742345
684.0488684210527,369.547293777387,p3,119.17900224320731
687.2393684210526,371.5757479355255,p3,119.83317870920698
690.4298684210526,374.48393909699934,p3,120.7710703587823
693.6203684210527,378.3258400382614,p3,122.0100834123393
696.8103684210528,373.77949700833426,p3,120.5438877851878
700.0008684210527,369.16044598131856,p3,119.05424382897525
703.1913684210526,371.548124188861,p3,119.82427005090767
706.3813684210527,372.87642388417186,p3,120.25264670264542
709.5718684210526,375.14228007959315,p3,120.98338532566879
712.7623684210528,373.1080966605432,p3,120.32736117302518
715.9523684210526,369.1537989538675,p3,119.05210016262228
725.5233684210527,365.99471872910635,p3,118.0332967901368
728.7138684210527,369.703735915632,p3,119.22945483279133
731.9043684210526,370.4213572943282,p3,119.46088772742084
735.0943684210526,371.43457231898634,p3,119.7876495728731
738.2848684210526,370.03971735979417,p3,119.33780884853363
741.4753684210527,368.09929371792197,p3,118.71202222402984
744.6658684210527,369.9623091279596,p3,119.31284469376698
747.8563684210526,367.75727156867435,p3,118.60172008089748
751.0463684210526,368.39302953829934,p3,118.80675202610155
754.2368684210526,362.869851892943,p3,117.02552723547413
757.4273684210527,358.19968331321746,p3,115.51939786851264
760.6173684210528,351.69427892971146,p3,113.42140495483194
763.8078684210527,351.3729929172032,p3,113.31779021579803
766.9983684210526,349.8712711359627,p3,112.83348494134796
770.1883684210527,347.2726969972836,p3,111.99544478162397
773.3788684210526,349.4302431281892,p3,112.69125340884102
776.5693684210528,348.26729736987784,p3,112.3162034017856
779.7593684210526,348.99159962877195,p3,112.54979088027896
782.9498684210528,350.7308364669037,p3,113.11069476057645
786.1403684210527,349.48064258165437,p3,112.70750723258354
789.3303684210528,348.94350835749435,p3,112.53428144529194
792.5208684210527,347.3005421971401,p3,112.00442485857768
795.7113684210526,343.68500392455064,p3,110.83841376566758
