r,stdmax,stdmin,u,umax,umin,unorm
0.405,0.39942916818027974,0.4577555812641402,-5.3858506232475944,0.3147365143219494,0.5398918021514884,0.42859237472220996
0.41500000000000004,0.39704015026690576,0.4571569572510007,-5.367078715391811,0.2899495846872146,0.5400320356495573,0.4270985537589532
0.425,0.39435486869867525,0.45645899131733453,-5.345821144397342,0.2989147251588179,0.550102629194873,0.4254069300080049
0.435,0.39258837809635794,0.45452701676620977,-5.322583002486119,0.2990700907975309,0.5472319416329074,0.42355769743128385
0.445,0.39199063385984684,0.45256709990108485,-5.306512743831575,0.30178369440001873,0.5475545659014148,0.42227886688046584
0.455,0.39207781245256196,0.45190740280659675,-5.302915503993146,0.3010901106512757,0.5471056319225467,0.42199260762957935
0.465,0.39154626098360756,0.45063717402139436,-5.2915945847734625,0.2999509589947824,0.54950561630182,0.42109171750250096
0.475,0.39042926466901234,0.4495679016360766,-5.277857853400622,0.26321778680404456,0.5476807680997037,0.41999858315254446
0.485,0.3885899548293259,0.44893997572478817,-5.262355753980748,0.26265510105911577,0.5516113852607271,0.41876496527705703
0.495,0.3867969960649748,0.44822081946089515,-5.24657166974534,0.2970331019819654,0.5534409934384734,0.417508907762935
0.505,0.38597244203458814,0.44606864452166484,-5.227868330019987,0.27814606702332134,0.552869736648613,0.4160205432781265
0.515,0.3842890817340088,0.4430715162249004,-5.198459952834734,0.2733764831217703,0.5511814719898509,0.4136802989794546
0.525,0.38392675151928685,0.4411478852687419,-5.184096835193076,0.2825769367805263,0.5380870421716851,0.41253731839401436
0.535,0.3833174391528394,0.4414021682230465,-5.181866119607084,0.28702015454715807,0.5216720005188616,0.41235980368794295
0.545,0.38169486852115075,0.4401995015932181,-5.164114630356223,0.2884959297721975,0.5119778342509529,0.4109471850571844
0.555,0.38018133380393343,0.4387821352844758,-5.145699236093116,0.2891547664794076,0.5153360067721238,0.4094817345442046
0.5650000000000001,0.378503422800712,0.43705892606935753,-5.124329367509293,0.29216054369647204,0.5375817815388778,0.40778117443503475
0.575,0.3786230608079699,0.4362839599459386,-5.120211819518448,0.29297478929098286,0.5434932859364167,0.40745351037695426
0.585,0.3783607417297242,0.43477744587321954,-5.109097913053454,0.2971847242112063,0.5390507978983868,0.4065690938014719
0.595,0.37757843134072716,0.4340302790882162,-5.099487924546108,0.2986418572149413,0.525918378126689,0.40580435521447167
0.605,0.3761837755883011,0.4338177127410302,-5.089389450264451,0.28554341134550726,0.5258427921589369,0.40500074416466564
0.615,0.37349680139857566,0.4324357476731432,-5.063823550905215,0.2809638760086216,0.5234712119947357,0.4029662745358594
0.625,0.3722673685700042,0.43049197084770685,-5.043885686630553,0.28482367374311507,0.5171763859140039,0.4013796697088555
0.635,0.37178192338927313,0.42838372802505137,-5.027589064276266,0.28114345734505186,0.5139521287039498,0.40008282570716225
0.645,0.37184593692309226,0.42705321318586204,-5.01963140188284,0.2806954927858652,0.5182445544017555,0.39944957505447715
0.655,0.37074320584835346,0.4260820938274658,-5.006601015312079,0.27665447897916634,0.5181054160248058,0.39841264983790964
0.665,0.36826545524312615,0.42506152961408206,-4.984620455043893,0.2764405133937752,0.5253216898371783,0.3966634924286041
0.675,0.3680092698656876,0.42418593328117127,-4.977509260830491,0.2855201977501522,0.5258707013067923,0.39609760157342944
0.685,0.3679411693788338,0.4226462540108088,-4.967407282682769,0.2593951303566032,0.5108281974599255,0.3952937116948213
0.6950000000000001,0.365781137250518,0.42134894913581966,-4.945684193621635,0.2570803648329606,0.5061613771701896,0.3935650431931688
0.7050000000000001,0.36483902841739446,0.4208720156356949,-4.936768087683103,0.2939275571030851,0.5015936245721104,0.39285552202654467
0.715,0.36508960939489227,0.42058801812298924,-4.936558125400069,0.2816275114471285,0.5027405558034539,0.39283881375894075
0.725,0.3642117934050359,0.41924415225578976,-4.922598886598588,0.2983918104229356,0.5012436678674494,0.39172797283041283
0.735,0.3625196664399435,0.41773428150552183,-4.902480141599813,0.2908371000861775,0.5419278609734374,0.39012697397273266
0.745,0.3608905791148016,0.4171772589070051,-4.888744407847602,0.26317834227404774,0.5459580235412775,0.38903391901090334
0.755,0.359374914115674,0.4154474827488108,-4.868352699652601,0.2606106147295786,0.5458785741668101,0.3874111984322424
0.765,0.3593162511864929,0.4143504068452344,-4.861090978399682,0.27668343776430443,0.5431155662386274,0.38683332901586365
0.775,0.35833015087084263,0.4138379109297772,-4.851675020578993,0.2748174070660601,0.5296475887912386,0.3860840309003099
0.785,0.3568475224736759,0.4123353909984008,-4.832918780461339,0.27100086553495195,0.5011777015675333,0.38459145673603834
0.795,0.3564706800373516,0.41052182906125256,-4.8191560638851545,0.2586560097479658,0.490859230099893,0.3834962545493021
0.805,0.354560155745806,0.4111194893777491,-4.810907096246801,0.2714823512684633,0.5271034640913765,0.38283982256177757
