fic,a0,a5,a10,a20,a30,a40,a50,a60,a65,a70,a75,a80,a90,a100
9.50033038223722,12.026448684740036,12.460572178728974,13.047479963717755,13.430783166437994,13.678463862313428,14.092951820256108,14.691791068507534,15.043849984083835,15.380429272026614,9.429995568934856,9.574283501288612,9.48049717051449,9.75692645045222,9.780537139729326
9.700650854936555,12.470796729574658,12.96002075081166,13.574354623731335,13.964715865910216,14.211071402900151,14.61676710921539,15.235877580163413,15.597174415425487,15.93534889996343,9.851257614098841,9.96743518433086,9.85718859798716,10.200855451236036,10.180544828468342
9.900851196238392,12.922474109570494,13.486275591914069,14.092217475149782,14.487619661593106,14.739141110833526,15.197330252839159,15.77598043890566,16.129353454417608,16.471495218726652,10.283978200943265,10.361216500463163,10.248917166324208,10.569571956362386,10.577583408675373
10.101670267276024,13.413511240243793,14.002487730207767,14.586681706014344,15.041812318302355,15.30780766019697,15.76463918677743,16.323918965578315,16.67119042428222,17.002075911982416,10.65426069007134,10.73198247997589,10.640943078057264,10.978031074615913,10.965363481494634
10.301582547169843,13.89598907324461,14.543634101236812,15.135620792578589,15.587843295419708,15.871319710583347,16.3185524710706,16.889637879713685,17.250312673548027,17.57030150723947,11.09972261472063,11.078572511084154,11.057662131826925,11.403182987674748,11.38216545227415
10.50086070831013,14.42240110854456,15.078131070790924,15.670658241689198,16.141790808565435,16.418556937251754,16.866850081723133,17.486545089649727,17.818167211682606,18.10759866643559,11.531593827637419,11.586077093341492,11.479580613730255,11.836208493105405,11.812659333150087
10.700454773170048,14.899456071175258,15.637494959554656,16.236384160747917,16.71061889746025,17.019498792052183,17.46511896935713,18.063962415944793,18.360767741703395,18.702022397451604,11.950407306327198,11.995747797254692,11.890988655962259,12.316592519535888,12.230428545867172
10.900154495159102,15.410903657003047,16.179818090965593,16.776151693946517,17.280017775681788,17.584902839476594,18.04849691653776,18.62943356820859,18.970206470906856,19.235324004339162,12.392839557488923,12.435090100447198,12.271334726669354,12.7121456086125,12.637964581365994
11.100239401147308,15.96757057797421,16.725977493956844,17.332963760857915,17.83793564984815,18.16404862093826,18.667106577713813,19.205852103116708,19.50578926882356,19.840944430428024,12.820948384932453,12.878519731327971,12.735921027412017,13.166895998542925,13.10195931513477
11.30018502629392,16.423318100248697,17.18949475445065,17.89218710859753,18.390882094381762,18.815434820975955,19.28123699151721,19.814488103320247,20.104209319241182,20.428587011533935,13.244981777250347,13.31317409729172,13.226845365820559,13.577149072816669,13.461441984192017
11.500058126410927,17.124326964871617,17.917840510620522,18.544102855029728,19.025776698007196,19.38816550397009,19.899895593888957,20.46067578563739,20.714036999344042,21.014005596762484,13.730573255607215,13.758209352159554,13.803714509814165,14.132636440494595,14.037286668480672
11.700182882120668,17.60431536782385,18.522090245911997,19.0893424032266,19.724600326712004,20.065930642875884,20.527062513978844,21.09555854996223,21.39242932137774,21.661837134941255,14.179014409107724,14.2759318249027,14.115849867443083,14.566957870209247,14.409242816661157
11.90110068551843,18.14339069726833,19.000417830698765,19.698893893235766,20.249389112440888,20.62312613079405,21.17541587389413,21.746248974064137,21.94108103453579,22.273808270768637,14.595367053726175,14.631408444077982,14.58195081489863,14.996381257088272,14.907129032369628
12.100650102110272,18.70925561026885,19.608676756345133,20.301302606550706,20.861718983956955,21.27842030850167,21.79866579941528,22.409533884371843,22.61301433475763,22.873111218123135,15.082739016261295,15.180111734424882,15.20341081189737,15.524994156308116,15.331734241276523
12.298246819338376,19.25505979095171,20.22858126602382,20.9003249129939,21.489066483404923,21.906012742327675,22.43025501332552,23.026752529030198,23.22415614155695,23.49819574661431,15.51454032544722,15.666898194305627,15.54161236841891,15.954856711555976,15.869784300601015
12.499566693833188,19.821044353004755,20.813470018352064,21.521111227770458,22.08465325603745,22.540534611834058,23.1094402945128,23.68744269092199,23.88165123674237,24.110300113900035,16.052306667387832,16.102702062239338,16.023200045927105,16.424557606988166,16.269249167798044
