bins,hist,std,stdmin,stdmax
26.1,0.23204198718281777,0.003561226011808835,0.22848076117100896,0.2356032131946266
27.9,0.23148115178236495,0.007350392366980112,0.22413075941538482,0.23883154414934507
29.700000000000006,0.23273903310643,0.007959220009197807,0.22477981309723222,0.24069825311562776
31.50000000000001,0.23256662796443933,0.008454230705190456,0.22411239725924884,0.2410208586696298
33.300000000000004,0.23347131801326207,0.005396877718788232,0.22807444029447382,0.2388681957320503
35.1,0.2348560783483688,0.005876520947184136,0.22897955740118467,0.24073259929555296
36.9,0.2350300770720992,0.005839282877870269,0.22919079419422894,0.24086935994996944
38.7,0.2373986062246404,0.005479387973170559,0.23191921825146983,0.24287799419781098
40.5,0.23950847636559824,0.005532014374371037,0.23397646199122718,0.24504049073996928
42.30000000000001,0.2398056684805271,0.006108547167597351,0.23369712131292975,0.24591421564812443
